neighborhoods.neighbourhood_cleansed,neighborhoods.neighbourhood_group_cleansed,neighborhoods.state,neighborhoods.country,neighborhoods.neighborhood_id,neighborhoods.tf_listings.neighborhood_id
834,C40,S202,C7,1483,1
825,C38,S197,C7,1485,12
852,C38,S199,C7,1524,34
852,C38,S197,C7,3816,7
838,C37,S202,C7,1493,1
830,C37,S202,C7,1494,1
631,C0,S182,C2,1153,3
1377,C0,S182,C2,2384,9
336,C0,S145,C4,721,8
336,C0,S221,C4,1505,1
640,C0,S145,C4,1168,5
845,C26,S183,C14,1510,97
846,C34,S183,C14,1511,2
847,C34,S183,C14,1512,81
850,C41,S198,C7,1521,5
850,C41,S201,C7,3547,2
871,C40,S201,C7,3504,5
853,C43,S198,C7,1528,1
861,C38,S199,C7,1547,6
940,C0,S237,C17,1698,2710
864,C38,S200,C7,1555,2
864,C38,S197,C7,3826,8
1466,C43,S198,C7,2764,6
862,C38,S199,C7,4767,5
868,C28,S183,C14,1561,167
831,C37,S197,C7,2328,4
765,C36,S220,C7,4925,1
829,C40,S201,C7,1565,9
764,C36,S201,C7,1330,3
872,C42,S199,C7,1569,7
873,C42,S199,C7,1572,9
1367,C39,S198,C7,2333,5
878,C44,S199,C7,1578,5
864,C38,S202,C7,1582,3
808,C26,S183,C14,1416,40
882,C28,S183,C14,1584,60
884,C0,S189,C15,1586,160
885,C0,S189,C15,1589,48
801,C0,S189,C15,1395,99
886,C0,S189,C15,1592,51
886,C0,S190,C15,1593,6
888,C0,S189,C15,1597,37
884,C0,S801,C15,6481,1
893,C0,S189,C15,1609,18
884,C0,S191,C15,1611,1
895,C0,S190,C15,1617,4
884,C0,S190,C15,1610,6
718,C25,S183,C14,1251,14
895,C0,S189,C15,1616,11
805,C0,S189,C15,1406,24
911,C0,S194,C16,3524,1
758,C0,S194,C16,1367,5
770,C0,S194,C16,1343,30
743,C0,S208,C16,4796,3
930,C0,S231,C16,1678,1
780,C0,S229,C16,5459,3
774,C0,S229,C16,6074,1
931,C0,S194,C16,2318,6
642,C0,S42,C4,1171,6
329,C0,S145,C4,1172,17
942,C0,S237,C17,1704,333
1339,C0,S269,C12,2218,416
941,C0,S237,C17,1702,100
948,C0,S237,C17,1715,374
974,C0,S237,C17,1743,67
1340,C0,S269,C12,2219,1105
943,C0,S237,C17,1705,21
946,C0,S237,C17,1711,298
1341,C0,S269,C12,2222,521
1759,C0,S269,C12,3322,549
1335,C0,S269,C12,2211,616
947,C0,S237,C17,1713,251
1338,C0,S269,C12,2215,1107
720,C0,S145,C4,2413,7
27,C0,S1651,C3,7540,1
333,C0,S146,C4,1503,1
43,C0,S20,C2,127,28
41,C0,S20,C2,125,27
163,C0,S20,C2,1688,6
934,C0,S236,C2,1691,53
935,C0,S236,C2,1692,105
936,C0,S236,C2,1693,21
938,C0,S236,C2,1695,19
940,C0,S237,C18,1700,1
949,C0,S237,C17,1716,15
940,C0,S238,C17,1699,40
1135,C60,S250,C17,1931,266
1759,C0,S272,C12,4064,3
946,C0,S130,C17,5512,1
945,C0,S237,C17,1709,70
950,C0,S237,C17,1717,125
1000,C0,S237,C17,1771,7
952,C0,S44,C2,1720,105
955,C0,S44,C2,1723,33
1790,C0,S44,C2,3365,33
953,C0,S44,C2,1721,102
968,C0,S44,C2,1737,61
624,C0,S182,C2,1145,19
954,C0,S44,C2,1722,11
1644,C63,S461,C2,3191,395
958,C0,S44,C2,1726,33
960,C0,S44,C2,1728,149
961,C0,S44,C2,1729,132
979,C0,S44,C2,1749,41
963,C0,S44,C2,1731,364
999,C0,S237,C17,1769,8
970,C0,S44,C2,1739,2
971,C0,S44,C2,1740,14
1785,C0,S44,C2,3360,16
972,C0,S44,C2,1741,3
973,C0,S44,C2,1742,8
977,C0,S44,C2,1747,147
978,C0,S44,C2,1748,27
982,C0,S44,C2,1752,13
997,C0,S44,C2,1767,25
986,C0,S44,C2,1756,19
987,C0,S44,C2,1757,3
2248,C0,S44,C2,5553,1
981,C0,S44,C2,1751,31
994,C0,S44,C2,1764,36
996,C0,S44,C2,1766,20
998,C0,S44,C2,1768,8
940,C0,S240,C17,1708,5
1222,C0,S263,C17,2050,9
1001,C0,S44,C2,1772,173
1079,C0,S44,C2,1869,63
1016,C0,S44,C2,1787,70
1012,C0,S44,C2,1783,272
1002,C0,S44,C2,1773,89
1003,C0,S44,C2,1774,34
1005,C0,S44,C2,1776,62
1007,C0,S44,C2,1778,129
1008,C0,S44,C2,1779,165
1009,C0,S44,C2,1780,23
1013,C0,S44,C2,1784,48
447,C63,S461,C2,3161,84
1070,C0,S44,C2,1857,136
1010,C0,S44,C2,1781,22
1017,C0,S236,C2,1788,14
1021,C0,S236,C2,1792,33
1022,C0,S236,C2,1793,10
1025,C0,S113,C10,1797,22
942,C0,S238,C17,1770,6
1034,C0,S113,C10,1809,1
1046,C0,S243,C9,1824,23
1073,C0,S243,C9,1860,366
1302,C0,S243,C9,2165,195
1056,C0,S243,C9,1842,157
1074,C0,S244,C9,1863,37
1293,C0,S243,C9,2154,234
1300,C0,S243,C9,2162,69
1292,C0,S243,C9,2153,33
1048,C0,S243,C9,1827,71
1072,C0,S243,C9,1859,70
1296,C0,S243,C9,3383,3
1052,C0,S243,C9,1834,26
1057,C0,S243,C9,1844,7
1047,C0,S243,C9,1826,153
1052,C0,S244,C9,1835,2
1301,C0,S243,C9,2163,219
1058,C0,S243,C9,1845,64
1075,C0,S243,C9,1864,23
1048,C0,S244,C9,1828,4
1060,C0,S243,C9,1847,14
1061,C0,S243,C9,1848,16
1294,C0,S243,C9,2156,10
1295,C0,S243,C9,2157,2
1063,C0,S44,C2,1850,185
1064,C0,S44,C2,1851,1
1065,C0,S44,C2,1852,118
1066,C0,S44,C2,1853,100
1067,C0,S44,C2,1854,49
1068,C0,S44,C2,1855,75
1073,C0,S1466,C9,7029,1
1073,C0,S244,C9,1861,9
1302,C0,S244,C9,2166,11
1076,C0,S44,C2,1866,48
1078,C0,S44,C2,1868,58
1081,C0,S44,C2,1871,20
438,C0,S248,C10,2073,462
1082,C0,S44,C2,1872,36
1083,C0,S44,C2,1873,36
1085,C0,S44,C2,1875,90
1084,C0,S44,C2,1874,120
1086,C45,S246,C2,1876,28
1088,C46,S246,C2,1878,34
1089,C47,S246,C2,1879,79
1108,C47,S246,C2,3335,13
1091,C47,S246,C2,1881,20
1092,C48,S246,C2,1882,25
1094,C49,S246,C2,1884,71
1099,C47,S246,C2,1889,27
1095,C48,S246,C2,1885,8
1096,C48,S246,C2,1886,58
1097,C50,S246,C2,1887,6
1098,C50,S246,C2,1888,142
1120,C58,S246,C2,1911,13
1100,C47,S246,C2,1890,29
1102,C53,S246,C2,1893,3
1105,C54,S246,C2,1896,20
1110,C47,S246,C2,1901,6
1112,C47,S246,C2,1903,33
1087,C45,S246,C2,1877,24
1113,C47,S246,C2,1904,2
1117,C47,S246,C2,1908,55
1119,C57,S246,C2,1910,11
1121,C57,S246,C2,1912,82
1109,C46,S246,C2,1900,26
292,C57,S246,C2,1913,38
1122,C57,S246,C2,1914,53
1129,C51,S246,C2,1921,10
1130,C0,S248,C10,1922,146
1131,C0,S248,C10,1924,66
1166,C0,S248,C10,1975,77
1132,C60,S250,C17,1926,161
1141,C60,S250,C17,1942,41
1133,C60,S250,C17,1927,281
1136,C60,S250,C17,1933,93
1137,C60,S250,C17,1934,75
1203,C61,S250,C17,2020,8
1206,C61,S250,C17,2023,39
1201,C61,S250,C17,2018,4
1205,C61,S250,C17,2022,11
1812,C61,S865,C17,5234,1
1209,C61,S250,C17,2026,5
1202,C61,S250,C17,2019,1
1138,C60,S250,C17,1936,99
1812,C61,S250,C17,3402,6
2322,C61,S250,C17,6359,1
1207,C61,S250,C17,2024,1
1208,C61,S250,C17,2025,1
1134,C60,S250,C17,1930,10
1139,C60,S250,C17,1938,30
1140,C60,S250,C17,1941,6
632,C0,S248,C10,1943,169
1142,C0,S248,C10,1945,81
1143,C0,S248,C10,1946,28
1144,C0,S248,C10,1947,110
1145,C0,S255,C19,1948,157
1256,C0,S255,C19,2099,68
1269,C0,S255,C19,2122,69
1146,C0,S255,C19,1952,105
1145,C0,S256,C19,1949,86
1272,C0,S255,C19,2126,20
1271,C0,S255,C19,2125,48
1146,C0,S256,C19,1953,57
1266,C0,S255,C19,2115,79
1273,C0,S255,C19,2129,37
1266,C0,S256,C19,2116,34
1257,C0,S255,C19,2102,69
1273,C0,S256,C19,2130,9
1147,C0,S255,C19,1954,33
1214,C0,S256,C19,2035,25
1211,C0,S256,C19,2029,27
1259,C0,S256,C19,2107,10
1259,C0,S255,C19,2106,20
1148,C0,S256,C19,1956,14
1150,C0,S258,C2,1958,4
1155,C0,S258,C2,1963,42
1157,C0,S258,C2,1965,90
1154,C0,S258,C2,1962,96
1321,C0,S258,C2,2195,205
1275,C0,S258,C2,2132,195
1260,C0,S258,C2,2108,120
1158,C0,S258,C2,1966,126
1319,C0,S258,C2,2193,206
1153,C0,S258,C2,1961,75
1320,C0,S258,C2,2194,26
1318,C0,S258,C2,2192,102
1159,C0,S259,C10,1967,215
1200,C0,S259,C10,2017,167
1197,C0,S259,C10,2013,947
1160,C0,S260,C10,1968,1
1160,C0,S259,C10,4114,2
1163,C0,S248,C10,1971,139
1232,C0,S248,C10,2065,51
1164,C0,S248,C10,1973,98
1168,C0,S259,C10,1977,30
1169,C0,S259,C10,1978,24
1171,C0,S259,C10,1980,45
1162,C0,S259,C10,1982,15
1173,C0,S259,C10,1983,32
1175,C0,S259,C10,1985,12
1176,C0,S259,C10,1986,24
1178,C0,S259,C10,1989,14
1180,C0,S259,C10,1992,11
1276,C0,S259,C10,2133,15
1182,C0,S260,C10,1995,10
1184,C0,S258,C2,1997,13
1185,C0,S258,C2,1998,18
1186,C0,S258,C2,1999,15
1324,C0,S258,C2,2198,151
1322,C0,S258,C2,2196,24
1191,C0,S258,C2,2004,53
1188,C0,S258,C2,2001,9
1192,C0,S259,C10,2005,28
1193,C0,S259,C10,2006,60
1194,C0,S259,C10,2007,92
1161,C0,S259,C10,1969,40
1195,C0,S259,C10,2009,106
1197,C0,S260,C10,2014,49
1247,C0,S259,C10,2090,118
2076,C0,S259,C10,4493,6
1162,C0,S260,C10,5241,1
1283,C0,S259,C10,2140,8
1179,C0,S259,C10,1991,43
1198,C0,S259,C10,2015,6
1200,C0,S260,C10,2176,5
1211,C0,S255,C19,2030,124
1257,C0,S256,C19,2101,45
1256,C0,S256,C19,2100,30
1268,C0,S256,C19,4147,4
1148,C0,S255,C19,1955,30
1212,C0,S256,C19,2031,10
1214,C0,S255,C19,2034,95
1215,C0,S255,C19,2037,55
1212,C0,S255,C19,2032,33
1217,C0,S260,C10,2041,5
1218,C0,S259,C10,2042,14
1219,C0,S260,C10,2043,2
1219,C0,S259,C10,2044,15
1220,C0,S260,C10,3461,17
1223,C0,S259,C10,2053,21
1227,C0,S259,C10,2057,4
1228,C0,S259,C10,2059,6
1231,C0,S249,C10,2064,9
1233,C0,S248,C10,2066,201
1234,C0,S248,C10,2069,16
1235,C0,S248,C10,2070,24
1130,C0,S249,C10,1923,5
438,C0,S249,C10,2074,25
1648,C63,S461,C2,3195,232
1237,C0,S259,C10,2075,129
1307,C0,S259,C10,2173,24
1239,C0,S259,C10,2077,3
1242,C0,S259,C10,2080,131
1243,C0,S259,C10,2082,23
1244,C0,S259,C10,2084,13
1242,C0,S260,C10,2089,9
1249,C0,S259,C10,2092,15
1251,C0,S259,C10,2094,9
1285,C0,S259,C10,2142,11
1253,C0,S259,C10,2096,5
1271,C0,S256,C19,2124,31
1215,C0,S256,C19,3457,18
1267,C0,S256,C19,2118,17
1269,C0,S256,C19,2121,48
1265,C0,S256,C19,2114,11
1270,C0,S255,C19,2123,40
1258,C0,S255,C19,2104,28
1264,C0,S258,C2,2112,38
1261,C0,S258,C2,2109,12
1151,C0,S258,C2,1959,5
1265,C0,S255,C19,2113,31
1267,C0,S255,C19,2117,57
1258,C0,S256,C19,4145,11
1272,C0,S256,C19,2127,8
1277,C0,S259,C10,2134,9
1289,C0,S259,C10,2148,50
1279,C0,S259,C10,2136,11
1280,C0,S259,C10,2137,27
1281,C0,S259,C10,2138,9
1282,C0,S259,C10,2139,7
1286,C0,S260,C10,2145,2
1287,C0,S259,C10,2146,30
1245,C0,S260,C10,3473,3
1291,C0,S259,C10,2150,14
1241,C0,S259,C10,3452,55
1303,C0,S259,C10,2167,63
1306,C0,S259,C10,2172,19
1822,C0,S259,C10,5024,13
1308,C0,S259,C10,2174,23
1305,C0,S259,C10,2171,11
1309,C0,S259,C10,2177,13
1311,C0,S259,C10,2179,28
1313,C0,S259,C10,2181,12
1247,C0,S260,C10,2182,2
1831,C0,S248,C10,3442,11
1325,C0,S236,C2,2199,44
1327,C0,S236,C2,2201,20
1328,C0,S236,C2,2202,11
1345,C0,S273,C12,4188,2
1343,C0,S273,C12,5156,1
1344,C0,S273,C12,7557,1
1346,C0,S269,C12,2233,680
1335,C0,S272,C12,2213,3
1337,C0,S270,C12,2217,5
1342,C0,S273,C12,7269,1
1343,C0,S272,C12,2227,2
1344,C0,S274,C12,2232,1
1345,C0,S270,C12,2231,11
1338,C0,S270,C12,4191,7
1338,C0,S272,C12,2216,2
1767,C0,S270,C12,3340,10
1340,C0,S272,C12,2236,7
1774,C0,S272,C12,3345,5
1341,C0,S272,C12,4961,6
1334,C0,S272,C12,6331,5
1348,C0,S270,C12,2241,7
1348,C0,S277,C12,2240,1
449,C0,S44,C2,871,4
669,C28,S183,C14,1199,26
754,C0,S193,C2,1300,1
1350,C0,S193,C2,2244,22
871,C40,S200,C7,3503,3
762,C36,S202,C7,2272,2
765,C36,S200,C7,2251,5
805,C0,S190,C15,1623,3
777,C0,S283,C16,2259,1
780,C0,S283,C16,2258,2
1365,C0,S194,C16,3807,1
780,C0,S194,C16,1366,12
780,C0,S208,C16,5795,1
912,C0,S231,C16,1648,1
743,C0,S285,C16,2261,1
745,C0,S194,C16,1290,6
746,C0,S194,C16,2264,1
792,C0,S193,C2,1382,9
859,C38,S200,C7,1540,3
831,C37,S201,C7,1473,6
766,C35,S201,C7,1337,6
826,C39,S202,C7,3835,3
852,C38,S214,C7,3819,1
888,C0,S190,C15,2275,2
897,C0,S188,C15,1620,12
906,C0,S225,C4,1639,1
919,C0,S194,C16,2304,1
918,C0,S194,C16,1662,1
930,C0,S196,C16,3498,1
915,C0,S194,C16,2311,2
794,C0,S193,C2,1384,8
931,C0,S229,C16,2319,1
931,C0,S283,C16,4907,2
931,C0,S1342,C16,7210,1
908,C0,S194,C16,2320,1
838,C37,S198,C7,1492,10
848,C41,S199,C7,2329,8
850,C41,S199,C7,6704,2
1367,C39,S199,C7,5111,6
1367,C39,S197,C7,5606,1
1367,C39,S200,C7,6571,1
760,C35,S197,C7,1314,11
340,C0,S20,C2,726,24
4,C0,S1,C1,18,25
5,C0,S20,C2,31,11
8,C0,S20,C2,34,32
19,C0,S20,C2,56,16
1,C0,S8,C1,54,1
692,C30,S183,C14,1225,9
709,C33,S183,C14,1242,7
810,C34,S183,C14,1419,22
716,C25,S183,C14,1249,29
331,C0,S145,C4,1683,9
310,C0,S131,C5,638,1
323,C0,S27,C3,688,19
327,C0,S28,C3,2410,3
356,C0,S153,C11,754,1
151,C0,S327,C8,2435,7
100,C0,S51,C3,223,2
102,C0,S52,C3,226,3
85,C0,S49,C3,2449,2
86,C0,S49,C3,190,1
87,C0,S52,C3,194,1
86,C0,S50,C3,4428,1
151,C0,S80,C8,340,3
151,C0,S354,C8,2593,5
151,C0,S91,C8,400,1
156,C0,S70,C8,319,9
127,C0,S68,C2,269,29
62,C0,S68,C2,271,14
131,C0,S68,C2,275,22
132,C0,S68,C2,276,18
141,C0,S68,C2,285,12
142,C0,S68,C2,286,33
163,C0,S68,C2,337,21
164,C0,S68,C2,338,15
1394,C0,S68,C2,2485,5
1399,C0,S68,C2,2492,3
145,C0,S68,C2,290,29
181,C0,S51,C3,3934,4
170,C0,S51,C3,2511,1
182,C0,S49,C3,3583,2
184,C0,S52,C3,4425,2
1409,C24,S183,C14,2522,2
641,C0,S145,C4,1170,1
329,C0,S151,C4,2385,3
760,C35,S200,C7,2270,4
1413,C24,S183,C14,2528,2
1376,C30,S183,C14,2382,4
2194,C0,S20,C2,5133,1
909,C0,S342,C16,6687,1
929,C0,S194,C16,2553,3
798,C0,S193,C2,1388,2
797,C0,S193,C2,1387,8
705,C23,S183,C14,1238,6
1425,C25,S183,C14,2558,12
839,C37,S198,C7,2324,7
836,C37,S197,C7,2326,6
838,C37,S199,C7,2563,8
823,C36,S202,C7,4295,3
333,C0,S151,C4,1504,5
1393,C0,S68,C2,2484,5
1392,C0,S68,C2,2482,6
1396,C0,S68,C2,2489,10
144,C0,S68,C2,288,11
115,C0,S68,C2,289,12
1433,C0,S68,C2,2590,14
1435,C0,S68,C2,2592,5
151,C0,S356,C8,2595,1
1436,C0,S20,C2,2600,4
2,C0,S10,C1,25,1
151,C0,S585,C8,3935,1
86,C0,S52,C3,5654,1
154,C0,S51,C3,2521,3
176,C0,S53,C3,2629,1
179,C0,S51,C3,3581,1
363,C0,S50,C3,2654,2
1445,C0,S145,C4,2633,5
47,C0,S42,C4,131,10
363,C0,S49,C3,2441,1
303,C0,S135,C5,639,5
303,C0,S369,C5,2666,4
368,C0,S566,C5,3862,2
308,C0,S397,C5,4006,3
303,C0,S1766,C5,7843,1
326,C0,S26,C3,2409,7
326,C0,S1381,C3,6810,1
327,C0,S108,C3,2718,1
28,C0,S1525,C3,7199,1
1453,C0,S44,C2,2724,12
434,C0,S44,C2,856,44
437,C0,S44,C2,859,7
1455,C0,S44,C2,2726,4
379,C0,S44,C2,798,11
1502,C0,S44,C2,2907,25
318,C0,S26,C3,790,6
192,C0,S443,C3,5091,1
495,C0,S44,C2,918,2
496,C0,S44,C2,919,13
829,C40,S1083,C7,5964,1
875,C42,S198,C7,1574,7
877,C42,S198,C7,1577,12
834,C40,S198,C7,1481,13
830,C37,S199,C7,1469,9
507,C0,S119,C7,953,2
834,C40,S199,C7,2755,11
576,C20,S63,C7,1079,1
576,C20,S64,C7,2759,1
1564,C20,S62,C7,7621,1
855,C43,S198,C7,1532,12
1467,C17,S62,C7,2777,1
1468,C17,S62,C7,3721,1
1471,C16,S64,C7,2781,1
1471,C16,S63,C7,3059,2
562,C16,S63,C7,1055,8
568,C16,S63,C7,1062,11
700,C31,S183,C14,1233,7
1472,C16,S63,C7,2783,5
1474,C15,S63,C7,2788,7
1475,C15,S63,C7,2792,2
586,C0,S27,C3,1096,1
199,C0,S112,C9,455,1
870,C24,S183,C14,1563,5
1479,C31,S183,C14,2814,11
820,C24,S183,C14,1433,2
295,C0,S113,C10,613,18
813,C28,S183,C14,1423,53
246,C0,S110,C9,543,1
214,C0,S110,C9,480,2
1481,C34,S183,C14,2819,1
294,C0,S114,C10,612,28
255,C0,S114,C10,560,5
296,C0,S113,C10,615,25
1486,C0,S129,C2,2826,5
2153,C0,S20,C2,4897,1
194,C0,S409,C3,2827,2
789,C36,S418,C7,4924,1
871,C40,S202,C7,4761,3
32,C0,S405,C3,7095,1
196,C0,S26,C3,2828,5
194,C0,S412,C3,2833,5
196,C0,S46,C3,4018,2
472,C0,S44,C2,895,13
63,C0,S44,C2,148,16
223,C0,S119,C7,507,1
572,C0,S118,C7,1069,1
584,C0,S110,C9,1091,19
229,C4,S63,C7,2865,4
1496,C4,S63,C7,2866,5
1497,C4,S63,C7,2867,4
22,C0,S420,C3,2895,1
23,C0,S423,C3,2898,1
23,C0,S825,C3,5079,3
319,C0,S1632,C3,7490,1
23,C0,S61,C3,2905,1
1504,C0,S44,C2,2909,5
261,C3,S63,C7,568,19
1500,C5,S63,C7,2871,4
1500,C5,S62,C7,4730,3
524,C10,S62,C7,992,6
577,C21,S680,C7,7058,1
526,C10,S62,C7,3021,6
506,C0,S118,C7,2747,1
52,C0,S44,C2,137,3
71,C0,S44,C2,156,23
444,C0,S44,C2,866,13
1671,C63,S461,C2,3219,262
518,C7,S63,C7,971,15
230,C5,S63,C7,519,4
536,C11,S64,C7,6332,2
531,C3,S63,C7,1002,5
556,C15,S63,C7,1047,4
262,C3,S62,C7,2930,8
461,C0,S44,C2,883,28
487,C0,S44,C2,910,1
463,C0,S44,C2,885,24
394,C0,S44,C2,813,4
1523,C0,S44,C2,2945,5
1518,C0,S44,C2,2940,5
455,C0,S44,C2,877,54
421,C0,S44,C2,843,18
1526,C0,S44,C2,2948,7
728,C0,S130,C2,1266,37
1529,C0,S130,C2,2951,10
730,C0,S130,C2,1268,15
617,C0,S130,C2,1138,10
1528,C0,S130,C2,2950,19
731,C0,S130,C2,1269,36
1532,C0,S130,C2,2955,23
1533,C0,S130,C2,2956,6
1537,C0,S130,C2,2960,6
289,C0,S130,C2,606,52
290,C0,S130,C2,607,13
296,C0,S114,C10,616,21
2155,C0,S225,C4,5803,1
770,C0,S229,C16,3523,3
32,C0,S28,C3,105,12
32,C0,S26,C3,163,10
327,C0,S1660,C3,7576,1
24,C0,S1271,C3,6513,1
192,C0,S442,C3,2992,1
318,C0,S379,C3,2681,1
319,C0,S26,C3,680,10
385,C0,S44,C2,804,6
523,C0,S119,C7,989,1
196,C0,S38,C3,3002,1
196,C0,S444,C3,3003,1
1524,C0,S44,C2,2946,25
1522,C0,S44,C2,2944,2
442,C0,S44,C2,864,2
452,C0,S44,C2,874,14
454,C0,S44,C2,876,6
1791,C0,S44,C2,3366,6
2235,C0,S44,C2,5533,3
1667,C63,S461,C2,3214,67
415,C0,S44,C2,837,12
1726,C63,S461,C2,3280,101
1454,C0,S44,C2,2725,20
466,C0,S44,C2,888,25
2055,C0,S44,C2,4374,1
1909,C0,S44,C2,3874,11
462,C0,S44,C2,884,34
195,C0,S26,C3,444,9
1517,C0,S44,C2,2939,9
445,C0,S44,C2,867,8
197,C0,S1482,C3,7088,1
1485,C0,S113,C10,2825,2
270,C0,S114,C10,3015,1
254,C0,S115,C10,3017,9
200,C0,S677,C9,4563,1
241,C0,S110,C9,536,1
1299,C0,S243,C9,2161,25
200,C0,S446,C9,3018,1
548,C7,S64,C7,5212,1
256,C7,S64,C7,4043,1
561,C13,S63,C7,3728,3
510,C8,S62,C7,3023,1
516,C9,S62,C7,3883,2
1510,C11,S63,C7,2928,4
206,C0,S114,C10,3026,2
211,C0,S110,C9,476,12
244,C0,S111,C9,2879,3
210,C0,S110,C9,475,28
199,C0,S447,C9,3028,1
259,C3,S63,C7,564,13
1461,C6,S64,C7,2758,3
549,C12,S63,C7,1038,7
533,C11,S63,C7,1004,4
536,C11,S62,C7,1007,6
274,C0,S129,C2,591,4
294,C0,S115,C10,3085,2
1840,C0,S259,C10,3468,5
1568,C5,S63,C7,3109,2
563,C15,S63,C7,1057,2
1536,C0,S130,C2,2959,4
1571,C0,S130,C2,3112,4
1573,C62,S461,C2,3114,377
1574,C62,S461,C2,3115,55
1575,C63,S461,C2,3116,271
1578,C64,S461,C2,3119,14
1579,C62,S461,C2,3120,86
2003,C64,S461,C2,4272,3
1580,C63,S461,C2,3121,240
1646,C63,S461,C2,3193,137
1581,C0,S44,C2,3122,13
1583,C0,S44,C2,3124,4
1584,C0,S44,C2,3125,12
1587,C0,S44,C2,3128,7
1588,C0,S44,C2,3129,10
2013,C0,S44,C2,4282,3
1591,C0,S44,C2,3132,5
1595,C0,S44,C2,3136,1
1598,C0,S44,C2,3139,29
1601,C0,S44,C2,3142,4
1604,C0,S44,C2,3145,13
1586,C0,S44,C2,3127,18
1610,C62,S461,C2,3152,293
1611,C62,S461,C2,3153,6
1612,C65,S461,C2,3154,3
1617,C62,S461,C2,3159,23
953,C63,S461,C2,3163,433
1623,C62,S461,C2,3167,125
1632,C62,S461,C2,3177,125
1627,C62,S461,C2,3172,707
1685,C62,S461,C2,3235,112
1636,C62,S461,C2,3181,18
1637,C62,S461,C2,3182,13
130,C63,S461,C2,3183,5
1640,C62,S461,C2,3186,133
1645,C62,S461,C2,3192,38
1649,C0,S44,C2,3196,9
1650,C0,S44,C2,3197,11
1651,C0,S44,C2,3198,4
1652,C0,S44,C2,3199,18
1659,C0,S44,C2,3206,4
2011,C0,S44,C2,4280,3
1660,C0,S44,C2,3207,18
1662,C0,S44,C2,3209,6
1664,C63,S461,C2,3211,59
975,C63,S461,C2,3215,198
1668,C62,S461,C2,3216,13
1670,C64,S461,C2,3218,26
210,C64,S461,C2,4262,11
1673,C63,S461,C2,3222,41
1674,C64,S461,C2,3223,10
1675,C64,S461,C2,3224,27
